title,adress,postcode,website,draft,Stageplek
Auto Huis,Hoofdstraat 44,7875AD Exloo,,FALSE,
Bijoke,Zuideinde 18,7875CD Exloo,,TRUE,
De Bloemerie Exloo,Schoolstraat 14,7875 AG Exloo,,FALSE,
De Boschrand,Hoofdstraat 96,7875AE Exloo,,TRUE,
De Jonge advocatuur mediation,Hooggoorns 14,7812 AM Emmen,,FALSE,
De Papiermaecker,De Gloep,7875AJ Exloo,,TRUE,
Diner Café Bussemaker,Zuiderhoofdstraat 1,7875 BW Exloo,,FALSE,
Drents Eitje,Oude drijk 2,7875CK Exloo,,FALSE,
Eko Tours,Valtherweg 1,7875TA Exloo,,FALSE,
Fletcher Hotels,Valtherweg 36,7875 TB Exloo,,FALSE,
Geerts Warenhuis,Zuiderhoofdstraat 9,7875 BW Exloo,,FALSE,
Gillyś Koffie,Meidoornlaan 7,7875BM Exloo,,FALSE,
Golfpark Exloo,Meidoornlaan 7,7875BM Exloo,,FALSE,
GTH Installaties,Fabriekstraat 1,7875AK Exloo,,FALSE,
Het Gebint,Zuideinde 6,7875 CD Exloo,,FALSE,
Hotel Het Wapen van Exloo,Hoofdstraat 8,7875 AC Exloo,,FALSE,
Huis Makelaardij,Hoofdstraat 59,7875 AB Exloo,,FALSE,
Imcadeau,Boslaan 6,7875AR Exloo,,FALSE,
J.K. Financiele Dienstverlening,Hoofdstraat 22,7875 AC Exloo,,FALSE,
Jan Bakker,Boslaan 4,7875AR Exloo,,FALSE,
Kabouterland,Zuiderhoofdstraat 11,7875BW Exloo,,FALSE,
Kapsalon De Pauw,Hoofdstraat 34B,7875AC Exloo,,FALSE,
Kapsalon Zuideinde,Zuideinde 28,7875 CD Exloo,,FALSE,
Landbouwbedrijf Vredeveld,Hoofdstraat 8,7875AC Exloo,,FALSE,
Landwinkel Exloo,Oude drijk 2,7875CK Exloo,,FALSE,
Marcel van Dam makelaardij,Valtherweg 6,7875 TB Exloo,,FALSE,
Meukenhoek,Hoofdstraat 61,7875AB Exloo,,FALSE,
Project F1rst,Borgerderweg 25,7873 TC Odoorn,,FALSE,
Puur ambacht,Hoofdstraat 69,7875 AB Exloo,,FALSE,
Schutrups,Zuiderhoofdstraat 13,7875 BW Exloo,,FALSE,
Spar supermarkt Pater,Hoofdstraat 49,7875AB Exloo,,FALSE,TRUE
Thuis op 41,Hoofdstraat 41,7875AA Exloo,,FALSE,
Tractorenhandel Exloo,Groot Akkersweg 9,7875AP Exloo,,FALSE,
Veldkamp en Prins Notarissen,Bloemdijk 2 B,9531JL Borger,,FALSE,
Verzord Wonen,Zuiderhoofdstraat 20,7875BX Exloo,,FALSE,
Vleesboerderij Exloo,Polweg 8,7875 CG Exloo,,FALSE,
Voetpraktijk Exloo,Valtherweg 17,7875TA Exloo,,FALSE,
Wierenga Boomverzoging,J. Schoenmakerlaan 8,7875BJ Exloo,,FALSE,
Wijnholds makelaardij,Zuiderhoofdstraat 7,7875BW Exloo,,FALSE,
Wil Luchjenboers,Valtherweg 27b,7875TA Exloo,,FALSE,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
,#N/A,#N/A,#N/A,#N/A,
